name	normalname	country	latitude	longitude	population
Geelong	Geelong	AU	-38.14711	144.36069	226034
Frankston East	Frankston East	AU	-38.13333	145.13333	34457
Frankston	Frankston	AU	-38.14458	145.12291	34457
Forster	Forster	AU	-32.18136	152.51715	17591
Essendon	Essendon	AU	-37.76667	144.91667	18852
Epping	Epping	AU	-33.77271	151.08184	18969
Engadine	Engadine	AU	-34.06564	151.01266	17937
Eltham	Eltham	AU	-37.73333	145.15	18162
Echuca	Echuca	AU	-36.14057	144.75185	19457
Earlwood	Earlwood	AU	-33.95	151.1	16564
Dubbo	Dubbo	AU	-32.24295	148.60484	32327
Doncaster	Doncaster	GB	53.52285	-1.13116	67670
Devonport	Devonport	AU	-41.17695	146.35152	19317
Deception Bay	Deception Bay	AU	-27.19354	153.02631	16090
Dandenong	Dandenong	AU	-37.98333	145.2	24919
Cronulla	Cronulla	AU	-34.06251	151.14961	16754
Cranbourne	Cranbourne	AU	-38.1	145.28333	39419
Craigieburn	Craigieburn	AU	-37.6	144.95	19728
